bangla,chittagonian,english,predicted_chittagonian,bleu_sentence,chrf_sentence
সে নিজের ব্যবসা শুরু করতে চাকরি ছেড়ে দিয়েছে।,ইতে নিজের বেবসা শুরু গরিত চঁহুরি ছড়ি দিয়্যি।,She resigned from her job to start her own business.,ঔ তে আঞ্চলিক ভাষায়: তে আঞ্চলিক বাংলা বাক্যটি: অনুবাদ: ও আঞ্চলিক ভাষায়: তে আঞ্চলিক বাংলা বাক্যটি: অনুবাদ: অনুবাদটি প্র,0.0,7.0670456149290555
চট্টগ্রামের স্কুলগুলোতে শিশুদের পরিবেশ সংরক্ষণ সম্পর্কে শেখানো হচ্ছে.,চাটগাঁর ইশকুল অঅলত ফুয়াঅঅলরে পরিবেশ বাঁচাই রাহন শিখানি অয়/ওয়।,Children are being taught about environmental protection in Chittagong schools.,ঔঞ্চলে's স্কুলগুলোতে শিশুদের পারিবাহিক সঞ্চালন হালনাই হচ্ছে.,0.0,9.500399738021072
সে শুধু তেলাওয়াত নয় বোঝার জন্‌য কোরআনের অর্থ পড়ে।,"ইতে শুধু ফড়ি ন যায়, বুঝিত ফড়িত কোরআনর মানি ফড়ে।",He reads the meaning of the Quran to understand not just recite.,"ঔঞ্চলি: তে আঞ্চলিক ভাষায়: হে চাটগাঁইয়া ভাষায় অনুবাদটি হলো:
নে তে তেলাওয়াত বাবে অর্থ পাই ভাষায় বাংলা হেনে অনুবাদ ক�",0.0,7.251887610507457
পরিবেশনের ঠিক আগে স্বাদ উজ্জ্বল করতে সে একটু লেবুর রস দেয়।,হানা দেওনর আগে ইতি লেবুর রস দেয়।,He adds a squeeze of lime just before serving to brighten the flavour.,ঔঞ্চল: পারবেশনের ঠিক আঞ্চলে সে চাটগাঁইয়া হাঁসির আঞ্চলিক আঞ্চলিক দেয়। অনুবাদ: বাংলা বাক্যকে চাটগাঁইয়া ভাষায় সঠিকভাব,2.1476912089159055,13.143954589843702
আজ ইন্টারনেট অনেক ধীর।,আজিয়া ইন্টারনেট মেলা ধীর।,The internet is very slow today.,ঔ আঞ্চলিক: Ôthaj ñinterônt ônak thhîr.,0.0,2.0
প্রতি বর্ষা মৌসুমে কর্ণফুলী নদীতে ইলিশ মাছ আসে।,পত্তি বষ্যা কালত কর্ণফুলী নৈত ইলিশ মাছ আইয়ে।,The hilsa fish runs in the Karnaphuli River every monsoon season.,ঔঞ্চল: প্রতি চট্টগ্রামের বারেক হাঁসি বালায় আঞ্চলিক ভাষায় হাসি আঞ্চল হাঁসি হ’ল।,0.0,8.51693260366254
অনেক অভিযোগ সত্ত্বেও দুই বছরের বেশি সময় ধরে রাস্তা মেরামত হয়নি।,মেলা হতা হইবার পরেও দুই বছর ধরি রাস্তা সারা অয় নাই।,The road has not been repaired for over two years despite many complaints.,"ঔগ আঞ্চলিক ভাষায় অনুবাদ হলো:
ঔগ: আঞ্চলিক ভাষা হ'ল পাঁচ বছর পাঁচ বছর হাঁসি চাটা হেথা হেথা চাটা চাটা চাটা চাটা চাটা চাটা চাটা",1.4445809981770859,9.297124444952157
মনোযোগ দিয়ে পড়ো তাহলে ভবিষ্যৎ উজ্জ্বল হবে,মন দি ফড়ো তইলে সামনে গম দিন আইবো।,Study hard and your future will be bright,ঔঢ় দিয়ে পড়ো তদপস্বাদি ভাবিলে ভাবিকাই হবে.,0.0,10.47721279321541
সে বিয়েতে এক ঘণ্টা আগে পৌঁছেছে এবং একা একা খেয়ে সেটা কাটিয়েছে,ইতে বিয়াত এক ঘণ্টা আগে ফঁইচ্ছি এক্কাই হানা হাইয়্যে।,He arrived at the wedding an hour early and spent it eating alone,ঔঞ্চলিক: তে বিয়েতে আঞ্চলিক ওঞ্চলে পৌঞ্চে হ’লো আঞ্চলিক ওঞ্চলে আঞ্চলিক আঞ্চলিক খাই আঞ্চলিক আঞ্চলিক কাটিয়ালো,0.0,11.184154941093333
বড় পরীক্ষার আগের রাতে ছাত্রাবাসের কোনো শিক্ষার্থী ঘুমাতে পারেনি.,বড় পরীক্ষার আগের রাইতত হোস্টেলর হঁন ছাত্রই ঘুমাইত ন ফারিদ্যে।,The night before the big exam none of the students in the dormitory could sleep.,"বড় পাঠানের আগে ছাত্রাবাসে আঞ্চলিক ভাষায় হলো:
নিচের বাংলা বাক্যটি অনুবাদ হলো:
ছাত্রাবাসে আঞ্চলিক ভাষায়:
নিচে",2.0244462660665508,14.651160339085207
পার্বত্য অঞ্চলের অনেক আদিবাসী পরিবার আয়ের জন্য বাঁশের শিল্পের উপর নির্ভর করে।,ফাহাড়ি মেলা আদিবাসী পরিবার টেঁয়া কামাইতল্লাই বাঁশর হাজর ওপর ভরসা গরে।,Many tribal families in the hill tracts depend on bamboo crafts for their income.,ঔঞ্চলে আঞ্চলিক পাঁচালি বাঁশের অনুবাদ করা হলো ওঞ্চাইয়া: আঞ্চলিক আঞ্চলিক পাঁচালি বাঁশের অনুবাদ করা হলো যেন পাঁচালি বাঁশ,0.0,10.934195736724595
আপনি কি বাড়িতে চাটগাঁইয়া উপভাষায় কথা বলেন?,অঁনে কি ঘরোত চাটগাঁইয়া হতায় কথা কন?,Do you speak Chittagonian dialect at home?,"নিচের অনুবাদটি প্রাকৃতিক ও প্রাকৃতিক ভাষায় হতে হবে। অনুবাদটি স্বাভাবিক ও প্রাকৃতিক ছাটগাঁইয়া ভাষায় হতে হবে।
অনুবাদ:
আ",0.0,17.364333940172564
ফসল এত ভালো হওয়া শেষ কবে ছিল সে মনে করতে পারছে না.,অত্তো গম ফসল আগে হঁনদিন অইছিল ইয়া ইতর মনে ন ফড়ের।,He cannot remember the last time the harvest was this good.,"ঔ ফসল এত �খালি হওয়া শেষ কাটা হত আঞ্চলিক ভাষায় হ’লো:
ঔ হাঁটা অনুবাদ হ’লো:
নেহা ফসল এত ধন্যবাদ হয়েছে আঞ্চলিক ভাষায় হ’লো",1.5061893230938672,9.750556809657832
