bangla,reference,Model A - Qwen2.5 → predicted,Model B - Gemma-2B-IT → predicted,Model C - Llama-3.2-3B-Instruct → predicted
সে নিজের ব্যবসা শুরু করতে চাকরি ছেড়ে দিয়েছে।,ইতে নিজের বেবসা শুরু গরিত চঁহুরি ছড়ি দিয়্যি।,ঔ তে আঞ্চলিক ভাষায়: তে আঞ্চলিক বাংলা বাক্যটি: অনুবাদ: ও আঞ্চলিক ভাষায়: তে আঞ্চলিক বাংলা বাক্যটি: অনুবাদ: অনুবাদটি প্র,"চাটগাঁইয়া: পাঁচ বছর বয়স্ক গ্রামীণ ওজন বাঁধা চাটগাঁইয়ায় হলো সঠিকভাবে অনুবাদ:
পাঁচ বছর বয়স্ক গ",চাটগাঁইয়া: তুমি নিজের ব্যবসা শুরু করতে চাকরি ছেড়ে দিয়েছিসা।
চট্টগ্রামের স্কুলগুলোতে শিশুদের পরিবেশ সংরক্ষণ সম্পর্কে শেখানো হচ্ছে.,চাটগাঁর ইশকুল অঅলত ফুয়াঅঅলরে পরিবেশ বাঁচাই রাহন শিখানি অয়/ওয়।,ঔঞ্চলে's স্কুলগুলোতে শিশুদের পারিবাহিক সঞ্চালন হালনাই হচ্ছে.,চাটগাঁইয়া: পাটি ছাড়া ওজ্জ্ঞা নাই খাটোবাঁইয়া।,চাটগাঁইয়া: চাটগাঁইয়ায় শিশুতা পরিবেশ বাঁধাঁইয়া সংরক্ষণ শিক্ষা করানো হওয়াঃ শিশুতা পরিবেশ বাঁধাঁ
সে শুধু তেলাওয়াত নয় বোঝার জন্‌য কোরআনের অর্থ পড়ে।,"ইতে শুধু ফড়ি ন যায়, বুঝিত ফড়িত কোরআনর মানি ফড়ে।","ঔঞ্চলি: তে আঞ্চলিক ভাষায়: হে চাটগাঁইয়া ভাষায় অনুবাদটি হলো:
নে তে তেলাওয়াত বাবে অর্থ পাই ভাষায় বাংলা হেনে অনুবাদ ক�","চাটগাঁইয়া: চাটগাঁইয়া প্রকারে বাক্যটি অনুবাদ করও:
Chittagonian dialect: চাটগাঁইয়া ভাষায় বাক্যটি প্রাকৃতিক চাটগাঁইয়",চাটগাঁইয়া: সে কোরআন পাখানা ভাষায় পড়তে পারে যাত্না তাত্কালিক চাটগাঁইয়া ভাষায় সঠিকভাবে অনুবাদ করতে হবে।
পরিবেশনের ঠিক আগে স্বাদ উজ্জ্বল করতে সে একটু লেবুর রস দেয়।,হানা দেওনর আগে ইতি লেবুর রস দেয়।,ঔঞ্চল: পারবেশনের ঠিক আঞ্চলে সে চাটগাঁইয়া হাঁসির আঞ্চলিক আঞ্চলিক দেয়। অনুবাদ: বাংলা বাক্যকে চাটগাঁইয়া ভাষায় সঠিকভাব,চাটগাঁইয়া: তাকে তাঁতো বন্ধুকে ক্ষমা করেন যাতা তাঁতো বিশেষজ্ঞ বানুয়ায়া অনুবাদক। তুমি চাটগাঁইয়া ভা�,চাটগাঁইয়া: তুমি লেবুর রস খাটোটা পরিবেশনের ঠিক পুরণে দিয়া ও স্বাদ বাড়াটা করতে চাটগাঁইয়া ভাষায় অনুব
আজ ইন্টারনেট অনেক ধীর।,আজিয়া ইন্টারনেট মেলা ধীর।,ঔ আঞ্চলিক: Ôthaj ñinterônt ônak thhîr.,চাটগাঁইয়া: আপনার বাক্য আমার মনে হবে না ওজনা,চাটগাঁইয়া: আজ ইন্টানেট ভাটটা খাটোমা।
প্রতি বর্ষা মৌসুমে কর্ণফুলী নদীতে ইলিশ মাছ আসে।,পত্তি বষ্যা কালত কর্ণফুলী নৈত ইলিশ মাছ আইয়ে।,ঔঞ্চল: প্রতি চট্টগ্রামের বারেক হাঁসি বালায় আঞ্চলিক ভাষায় হাসি আঞ্চল হাঁসি হ’ল।,চাটগাঁইয়া: খারাপ কাজ কি বললো সে,চাটগাঁইয়া: প্রতি বর্ষজুড়া কর্ণফুলী নদীতে ইলিশ মাছ আসে।
অনেক অভিযোগ সত্ত্বেও দুই বছরের বেশি সময় ধরে রাস্তা মেরামত হয়নি।,মেলা হতা হইবার পরেও দুই বছর ধরি রাস্তা সারা অয় নাই।,"ঔগ আঞ্চলিক ভাষায় অনুবাদ হলো:
ঔগ: আঞ্চলিক ভাষা হ'ল পাঁচ বছর পাঁচ বছর হাঁসি চাটা হেথা হেথা চাটা চাটা চাটা চাটা চাটা চাটা চাটা",চাটগাঁইয়া: হাত ধরে কসম করে বলুন তুমি (তুমি কুঁখ্যাত হওয়াতে ছিলেন) তাঁতো কসম করে বাঁটি বকত করোইটা,"চাটগাঁইয়া: অনেক অভিযোগ সঠিকভাবে হওয়া পড়ত কুঁঁয়ত দুই বছর ধরে রাস্তা মেরামত নাও হোক।
তুমি অনু�"
মনোযোগ দিয়ে পড়ো তাহলে ভবিষ্যৎ উজ্জ্বল হবে,মন দি ফড়ো তইলে সামনে গম দিন আইবো।,ঔঢ় দিয়ে পড়ো তদপস্বাদি ভাবিলে ভাবিকাই হবে.,চাটগাঁইয়া: কর্ণফুলী নামে তাকে চূড়িয়া করতে হলো। তাকে ঠিক ও প্রাকৃতিক চাটগাঁইয়া ভাষায় হতে হবে। তু�,চাটগাঁইয়া: তুমি ধুঁঁয়ক ওজন করো তুমার ভবিষ্যত খুব জ্ঞানী হবে
সে বিয়েতে এক ঘণ্টা আগে পৌঁছেছে এবং একা একা খেয়ে সেটা কাটিয়েছে,ইতে বিয়াত এক ঘণ্টা আগে ফঁইচ্ছি এক্কাই হানা হাইয়্যে।,ঔঞ্চলিক: তে বিয়েতে আঞ্চলিক ওঞ্চলে পৌঞ্চে হ’লো আঞ্চলিক ওঞ্চলে আঞ্চলিক আঞ্চলিক খাই আঞ্চলিক আঞ্চলিক কাটিয়ালো,"চাটগাঁইয়া: চুট্টকুমারিতা বাক্যটি পুঁখনুমা হিসাবে হলো:
চুট্টকুমারিতা বাক্যটি পুঁখনুমা হিসাবে অনুব",চাটগাঁইয়া: তোমাঁ একা একা ওয়েডিংয়ে এক ঘন্টা পুরষ্ট হয়াত আসেছে ও সেখানে খাটোয়াত বাঁধাঁইয়া খাব
