bangla,chittagonian,english,predicted_chittagonian
সে নিজের ব্যবসা শুরু করতে চাকরি ছেড়ে দিয়েছে।,ইতে নিজের বেবসা শুরু গরিত চঁহুরি ছড়ি দিয়্যি।,She resigned from her job to start her own business.,চাটগাঁইয়া: তুমি নিজের ব্যবসা শুরু করতে চাকরি ছেড়ে দিয়েছিসা।
চট্টগ্রামের স্কুলগুলোতে শিশুদের পরিবেশ সংরক্ষণ সম্পর্কে শেখানো হচ্ছে.,চাটগাঁর ইশকুল অঅলত ফুয়াঅঅলরে পরিবেশ বাঁচাই রাহন শিখানি অয়/ওয়।,Children are being taught about environmental protection in Chittagong schools.,চাটগাঁইয়া: চাটগাঁইয়ায় শিশুতা পরিবেশ বাঁধাঁইয়া সংরক্ষণ শিক্ষা করানো হওয়াঃ শিশুতা পরিবেশ বাঁধাঁ
সে শুধু তেলাওয়াত নয় বোঝার জন্‌য কোরআনের অর্থ পড়ে।,"ইতে শুধু ফড়ি ন যায়, বুঝিত ফড়িত কোরআনর মানি ফড়ে।",He reads the meaning of the Quran to understand not just recite.,চাটগাঁইয়া: সে কোরআন পাখানা ভাষায় পড়তে পারে যাত্না তাত্কালিক চাটগাঁইয়া ভাষায় সঠিকভাবে অনুবাদ করতে হবে।
পরিবেশনের ঠিক আগে স্বাদ উজ্জ্বল করতে সে একটু লেবুর রস দেয়।,হানা দেওনর আগে ইতি লেবুর রস দেয়।,He adds a squeeze of lime just before serving to brighten the flavour.,চাটগাঁইয়া: তুমি লেবুর রস খাটোটা পরিবেশনের ঠিক পুরণে দিয়া ও স্বাদ বাড়াটা করতে চাটগাঁইয়া ভাষায় অনুব
আজ ইন্টারনেট অনেক ধীর।,আজিয়া ইন্টারনেট মেলা ধীর।,The internet is very slow today.,চাটগাঁইয়া: আজ ইন্টানেট ভাটটা খাটোমা।
প্রতি বর্ষা মৌসুমে কর্ণফুলী নদীতে ইলিশ মাছ আসে।,পত্তি বষ্যা কালত কর্ণফুলী নৈত ইলিশ মাছ আইয়ে।,The hilsa fish runs in the Karnaphuli River every monsoon season.,চাটগাঁইয়া: প্রতি বর্ষজুড়া কর্ণফুলী নদীতে ইলিশ মাছ আসে।
অনেক অভিযোগ সত্ত্বেও দুই বছরের বেশি সময় ধরে রাস্তা মেরামত হয়নি।,মেলা হতা হইবার পরেও দুই বছর ধরি রাস্তা সারা অয় নাই।,The road has not been repaired for over two years despite many complaints.,"চাটগাঁইয়া: অনেক অভিযোগ সঠিকভাবে হওয়া পড়ত কুঁঁয়ত দুই বছর ধরে রাস্তা মেরামত নাও হোক।
তুমি অনু�"
মনোযোগ দিয়ে পড়ো তাহলে ভবিষ্যৎ উজ্জ্বল হবে,মন দি ফড়ো তইলে সামনে গম দিন আইবো।,Study hard and your future will be bright,চাটগাঁইয়া: তুমি ধুঁঁয়ক ওজন করো তুমার ভবিষ্যত খুব জ্ঞানী হবে
সে বিয়েতে এক ঘণ্টা আগে পৌঁছেছে এবং একা একা খেয়ে সেটা কাটিয়েছে,ইতে বিয়াত এক ঘণ্টা আগে ফঁইচ্ছি এক্কাই হানা হাইয়্যে।,He arrived at the wedding an hour early and spent it eating alone,চাটগাঁইয়া: তোমাঁ একা একা ওয়েডিংয়ে এক ঘন্টা পুরষ্ট হয়াত আসেছে ও সেখানে খাটোয়াত বাঁধাঁইয়া খাব
বড় পরীক্ষার আগের রাতে ছাত্রাবাসের কোনো শিক্ষার্থী ঘুমাতে পারেনি.,বড় পরীক্ষার আগের রাইতত হোস্টেলর হঁন ছাত্রই ঘুমাইত ন ফারিদ্যে।,The night before the big exam none of the students in the dormitory could sleep.,চাটগাঁইয়া: ওজন বড় পরীক্ষায় হাজার বেলা তুমুক শিক্ষার্থী কোনোজন উভয়ক খাঁটি ভাবে ভাবে ঘুম নাও পাওয�
পার্বত্য অঞ্চলের অনেক আদিবাসী পরিবার আয়ের জন্য বাঁশের শিল্পের উপর নির্ভর করে।,ফাহাড়ি মেলা আদিবাসী পরিবার টেঁয়া কামাইতল্লাই বাঁশর হাজর ওপর ভরসা গরে।,Many tribal families in the hill tracts depend on bamboo crafts for their income.,চাটগাঁইয়া: আয়র জাতি বাঁশের শিল্পে তাদের জীবন ও বাঁষাট বাঁখাঁইয়া।
আপনি কি বাড়িতে চাটগাঁইয়া উপভাষায় কথা বলেন?,অঁনে কি ঘরোত চাটগাঁইয়া হতায় কথা কন?,Do you speak Chittagonian dialect at home?,চাটগাঁইয়া: ওয়েকঁমা আপনি বাড়িতে চাটগাঁইয়া ভাষায় বাক্য বলেন?
ফসল এত ভালো হওয়া শেষ কবে ছিল সে মনে করতে পারছে না.,অত্তো গম ফসল আগে হঁনদিন অইছিল ইয়া ইতর মনে ন ফড়ের।,He cannot remember the last time the harvest was this good.,"চাটগাঁইয়া: ফসল এত ভালো হওয়া শেষ কবে চিঠি করত না চাটগাঁইয়া।
চাটগাঁইয়া অনুবাদ:
ফসল শেষ বাক্যটি চা�"
সে একজন অপরিচিত মানুষের সাথে ছাতা ভাগ করেছে এবং বৃষ্টিতে একসাথে হেঁটেছে।,ইতে অচেনা কেনর লয় ছাতা শেয়ার করি বৃষ্টিত হাঁডিয়্যি।,He shared his umbrella with a stranger and they walked together in the rain.,"চাটগাঁইয়া: তুমি অজানন্তর বিশেষজ্ঞ চাটগাঁইয়া ভাষায় অনুবাদ করো:
He share umbara তুমি অজানন্তর বিশেষজ্ঞ চাটগাঁইয়"
গত শতাব্দীতে ঘূর্ণিঝড়ের পর মৎস্যজীবী গ্রামটি তিনবার পুনর্নির্মিত হয়েছে।,গত বছর অঅলের তুয়ানর পরে জাইল্ল্যা গাঁও গান তিনবার বানিয়্যে।,The fishing village was rebuilt three times after cyclones in the last century.,"চাটগাঁইয়া: গত শতাব্দীতে ওটামটি ঘূর্ণিঝড়ের পর তিনবার পুনর্নির্মিত হয়াটো চাটগাঁইয়া ভাষায় অনুবাদ:
ও"
প্রকৃত বন্ধুত্ব মানে ভালো ও মন্দ সময়ে একে অপরের পাশে থাকা।,আসল দোস্তি মানে গম আর হরাপ সময়ত এক্কজন আরকজনর হাতত থাহন।,True friendship means standing by each other through good and bad times.,চাটগাঁইয়া: প্রকৃত বন্ধুত্ব বন্ধুবান সময়ে বন্ধুবান ও কঠোর সময়ে খাঁটি খাঁটি।
বাংলা ও চাটগাঁইয়া উভয়ই একই লিপি ব্‌যবহার করে কিন্তু উচ্চারণে পার্থক্য আছে।,বাংলা আর চাটগাঁইয়া দুইয়ন এক্কই লেখা ব্যবহার গরিলেও হতা কওন আলাদা।,Both Bangla and Chittagonian share the same script but differ in pronunciation.,"চাটগাঁইয়া: চাটগাঁইয়া ভাষা অনুবাদ:
চাটগাঁইয়া ভাষা অনুবাদ:
চাটগাঁইয়া ভাষা অনুবাদ হলো প্রাকৃতিক চাট�"
