bangla,chittagonian,english,predicted_chittagonian
বাংলাদেশের গ্‌রামীণ এলাকায় পাঁচ বছরের নিচের শিশুদের অপুষ্টি এখনো একটি চ্যালেঞ্জ।,গাঁওর জাগাত ছোট ফুয়া অঅলের হানা-ফিনার অভাব এহুনো মেলা।,Malnutrition remains a challenge for children under five in rural Bangladesh.,"চাটগাঁইয়া: পাঁচ বছর বয়স্ক গ্রামীণ ওজন বাঁধা চাটগাঁইয়ায় হলো সঠিকভাবে অনুবাদ:
পাঁচ বছর বয়স্ক গ"
চরিত্র ছাড়া শিক্ষা দিকনির্দেশনা ছাড়া জাহাজের মতো,চরিত্র ন থাহিলে শিক্ষা মানে মাথা ছাড়া শরীল।,Education without character is like a ship without a compass,চাটগাঁইয়া: পাটি ছাড়া ওজ্জ্ঞা নাই খাটোবাঁইয়া।
চট্টগ্রামের সমুদ্র দেখলেই তার মনে আনন্দের ঢেউ আসত।,চাটগাঁর দরিয়া দেহিলেই ইতর মনত হুশি আইতো।,He felt a rush of happiness every time he saw the sea of Chittagong.,"চাটগাঁইয়া: চাটগাঁইয়া প্রকারে বাক্যটি অনুবাদ করও:
Chittagonian dialect: চাটগাঁইয়া ভাষায় বাক্যটি প্রাকৃতিক চাটগাঁইয়"
যে তার শত্রুকে ক্ষমা করে সে প্রতিশোধ নেওয়ার চেয়ে বেশি শক্তি দেখায়।,যে দুশমনরে মাফ গরি দেয় ইতে বদলা লওনর তুনও বেশি বড় কাম গরে।,The man who forgives his enemy shows greater strength than the one who takes revenge.,চাটগাঁইয়া: তাকে তাঁতো বন্ধুকে ক্ষমা করেন যাতা তাঁতো বিশেষজ্ঞ বানুয়ায়া অনুবাদক। তুমি চাটগাঁইয়া ভা�
আপনার কথা আমার মনে থাকবে না,তোঁয়ার হথা অ্যাঁর মনত ন থাইব,I won't remember what you said.,চাটগাঁইয়া: আপনার বাক্য আমার মনে হবে না ওজনা
খারাপ কি বলল সে,হারাপ কি হইলো ইতে,What bad thing did he/she say?,চাটগাঁইয়া: খারাপ কাজ কি বললো সে
হাতে দিয়ে কসম করে বলে,আঁতত দি হচম গরে কইয়্যরে,"Putting his hand out and swearing, he says.",চাটগাঁইয়া: হাত ধরে কসম করে বলুন তুমি (তুমি কুঁখ্যাত হওয়াতে ছিলেন) তাঁতো কসম করে বাঁটি বকত করোইটা
সে চূড়ান্ত মডেলের নাম কর্ণফুলীর নামে রেখেছে এবং এটা ঠিক সঠিক মনে হয়েছে।,ইতে মডেলর নাম কর্ণফুলী রাহ্যি আর ইয়ানই গম অইয়ে।,He named the final model after the Karnaphuli and it felt exactly right.,চাটগাঁইয়া: কর্ণফুলী নামে তাকে চূড়িয়া করতে হলো। তাকে ঠিক ও প্রাকৃতিক চাটগাঁইয়া ভাষায় হতে হবে। তু�
চূড়ান্‌ত জমার আগে সমস্ত ডেটা এন্ট্রি যাচাই করা হয়েছে কিনা নিশ্চিত করুন।,শেষ জমা দেওনর আগে বেগগুন ডেটা চেক গইজ্জে নি ঠিক গরি লন।,Please ensure all data entries are verified before final submission.,"চাটগাঁইয়া: চুট্টকুমারিতা বাক্যটি পুঁখনুমা হিসাবে হলো:
চুট্টকুমারিতা বাক্যটি পুঁখনুমা হিসাবে অনুব"
তুমি যদি দুইটা করে ডিম দাও,তুই যদি দুইয়্যান গরে দিম দ,If you give two eggs each time,"চাটগাঁইয়া: তুমি দুইটা ডিম প্রাকৃতিক চাটগাঁইয়া ভাষায় অনুবাদ করতে পারো:
তুমি দুইটা ডিম চাটগাঁইয়া"
