#,English,Bangla,Chittagonian
1,How are you?,তুমি কেমন আছ?,তুঁই কেন আছ?
2,I will be back in an hour.,এক ঘণ্টার মধ্যে ফিরে আসব।,এক ঘন্টার মধ্যে চলি আসসুইম
3,Good night.,শুভ রাত্রি।,শুভ রাইত।
4,What is your name?,তোমার নাম কী?,তোঁয়ার নাম কী?
5,My name is Rahim.,আমার নাম রহিম।,আঁর নাম রহিম।
6,Where do you live?,তুমি কোথায় থাকো?,তুঁই হঁডে থাহো?
7,How old are you?,তোমার বয়স কত?,তোঁয়ার বয়স কত?
8,Are you okay?,তুমি ঠিক আছ?,তুঁই ঠিক আছ নি?
9,See you tomorrow.,আগামীকাল দেখা হবে।,হালিয়া দেহা অইবো।
10,Thank you very much.,তোমাকে অনেক ধন্যবাদ।,তোঁয়ারে মেলা ধন্যবাদ।
11,Sorry for being late.,দেরি হওয়ার জন্য ক্ষমা করো।,দেরি অইবার লাই মাফ গরিও।
12,Please sit down.,অনুগ্রহ করে বসো।,মেহেরবানি গরি বইয়ো
13,"Come in, please.",ভেতরে আসো।,ভিতরে আইয়ো
14,"I am fine, thank you.","আমি ভালো আছি, ধন্যবাদ।","আঁই গম আছি, ধন্যবাদ।"
15,Nice to meet you.,তোমার সাথে দেখা হয়ে ভালো লাগলো।,তোঁয়ার লয় দেখা অই গম লাইজ্ঞে
16,I am hungry.,আমি ক্ষুধার্ত।,আঁর ভুক লায়গ্যে।
17,I want to eat rice.,আমি ভাত খেতে চাই।,আঁই ভাত হাইত চাই।
18,The food is very tasty.,খাবারটা অনেক সুস্বাদু।,হানাউন মেলা সোয়াদ অইয়ে।
19,Please give me water.,আমাকে পানি দাও।,আঁরে পানি দিও।
20,I like to eat fish.,আমি মাছ খেতে পছন্দ করি।,আঁই মাছ হাইত পছন্দ গরি।
21,We eat rice twice a day.,আমরা দিনে দুইবার ভাত খাই।,আঁরা দিনত দুইবার ভাত হাই।
22,She cooked delicious biryani today.,সে আজ সুস্বাদু বিরিয়ানি রান্না করেছে।,ইতে আজ্জা ফোয়াদ করি বিরিয়ানি রাঁইদদ্যে।
23,The market has fresh vegetables today.,আজ বাজারে তাজা সবজি আছে।,আজ্জা বাজারত তজা তরি-তরকারি আছে।
24,Please bring tea with milk.,দুধ দিয়ে চা নিয়ে আসো।,দুধ দি চা লই আইসসো।
25,My mother cooks the best food.,আমার মা সবচেয়ে ভালো রান্না করেন।,আঁর মা বেগগুনত্তুন গম রাঁধে
26,We usually have breakfast at seven in the morning.,আমরা সাধারণত সকাল সাতটায় নাস্তা খাই।,আঁরা সচরাচর বিয়ান সাতটাত নাস্তা হাই।
27,The restaurant near our house serves very good hilsa fish curry.,আমাদের বাড়ির কাছের রেস্তোরাঁয় অনেক ভালো ইলিশ মাছের তরকারি পাওয়া যায়।,আঁরার ঘরের হাতর রেস্টুরেন্টত মেলা গম ইলিশ মাছর সালুন পাওন যায়।
28,"During Eid, our family prepares many different types of food.",ঈদের সময় আমাদের পরিবার অনেক ধরনের খাবার তৈরি করে।,ইদর সময় আঁরার পরিবারত মেলা জাতর হানা তৈরি গরে।
