english,bangla,chittagonian
How are you?,তুমি কেমন আছ?,তুঁই কেন আছ?
I will be back in an hour.,এক ঘণ্টার মধ্যে ফিরে আসব।,এক ঘন্টার মধ্যে চলি আসসুইম
Good night.,শুভ রাত্রি।,শুভ রাইত।
What is your name?,তোমার নাম কী?,তোঁয়ার নাম কী?
My name is Rahim.,আমার নাম রহিম।,আঁর নাম রহিম।
Where do you live?,তুমি কোথায় থাকো?,তুঁই হঁডে থাহো?
How old are you?,তোমার বয়স কত?,তোঁয়ার বয়স কত?
Are you okay?,তুমি ঠিক আছ?,তুঁই ঠিক আছ নি?
See you tomorrow.,আগামীকাল দেখা হবে।,হালিয়া দেহা অইবো।
Thank you very much.,তোমাকে অনেক ধন্যবাদ।,তোঁয়ারে মেলা ধন্যবাদ।
Sorry for being late.,দেরি হওয়ার জন্য ক্ষমা করো।,দেরি অইবার লাই মাফ গরিও।
Please sit down.,অনুগ্রহ করে বসো।,মেহেরবানি গরি বইয়ো
"Come in, please.",ভেতরে আসো।,ভিতরে আইয়ো
"I am fine, thank you.","আমি ভালো আছি, ধন্যবাদ।","আঁই গম আছি, ধন্যবাদ।"
Nice to meet you.,তোমার সাথে দেখা হয়ে ভালো লাগলো।,তোঁয়ার লয় দেখা অই গম লাইজ্ঞে
I am hungry.,আমি ক্ষুধার্ত।,আঁর ভুক লায়গ্যে।
I want to eat rice.,আমি ভাত খেতে চাই।,আঁই ভাত হাইত চাই।
The food is very tasty.,খাবারটা অনেক সুস্বাদু।,হানাউন মেলা সোয়াদ অইয়ে।
Please give me water.,আমাকে পানি দাও।,আঁরে পানি দিও।
I like to eat fish.,আমি মাছ খেতে পছন্দ করি।,আঁই মাছ হাইত পছন্দ গরি।
We eat rice twice a day.,আমরা দিনে দুইবার ভাত খাই।,আঁরা দিনত দুইবার ভাত হাই।
She cooked delicious biryani today.,সে আজ সুস্বাদু বিরিয়ানি রান্না করেছে।,ইতে আজ্জা ফোয়াদ করি বিরিয়ানি রাঁইদদ্যে।
The market has fresh vegetables today.,আজ বাজারে তাজা সবজি আছে।,আজ্জা বাজারত তজা তরি-তরকারি আছে।
Please bring tea with milk.,দুধ দিয়ে চা নিয়ে আসো।,দুধ দি চা লই আইসসো।
My mother cooks the best food.,আমার মা সবচেয়ে ভালো রান্না করেন।,আঁর মা বেগগুনত্তুন গম রাঁধে
We usually have breakfast at seven in the morning.,আমরা সাধারণত সকাল সাতটায় নাস্তা খাই।,আঁরা সচরাচর বিয়ান সাতটাত নাস্তা হাই।
The restaurant near our house serves very good hilsa fish curry.,আমাদের বাড়ির কাছের রেস্তোরাঁয় অনেক ভালো ইলিশ মাছের তরকারি পাওয়া যায়।,আঁরার ঘরের হাতর রেস্টুরেন্টত মেলা গম ইলিশ মাছর সালুন পাওন যায়।
"During Eid, our family prepares many different types of food.",ঈদের সময় আমাদের পরিবার অনেক ধরনের খাবার তৈরি করে।,ইদর সময় আঁরার পরিবারত মেলা জাতর হানা তৈরি গরে।
I went to the market early in the morning to buy fresh fish and vegetables.,আমি সকাল সকাল বাজারে গেলাম তাজা মাছ এবং সবজি কিনতে।,আঁই বিয়ান বিয়ান বাজারত গিয়ালাম তজা মাছ আর সবজি কিনিবল্লাই।
My grandmother always adds a little extra spice to make the curry more flavorful.,আমার দাদি সবসময় তরকারিকে আরও সুস্বাদু করতে একটু বেশি মশলা দেন।,আঁর দাদি হঁত্তিবাজে সালুনরে আরও সোয়াদ গরিতল্লাই এক্কানা বেশি মশলা দেয়।
This is my father.,ইনি আমার বাবা।,ইবে আঁর বাবা।
My mother is at home.,আমার মা বাড়িতে আছেন।,আঁর মা ঘরোত আছে।
I have two brothers.,আমার দুই ভাই আছে।,আঁর দুই ভাই আছে।
She is my sister.,সে আমার বোন।,ইতি আঁর বইন।
My family is very big.,আমার পরিবার অনেক বড়।,আঁর পরিবার মেলা বড়।
My younger brother goes to school.,আমার ছোট ভাই স্কুলে যায়।,আঁর ছোট ভাই ইশকুলত যায়।
Our grandfather lives in the village.,আমাদের দাদা গ্রামে থাকেন।,আঁরার দাদা গ্রামত থাহেন
My elder sister got married last year.,আমার বড় আপু গত বছর বিয়ে করেছেন।,আঁর বড় বুবু গত বছর বিয়া গইজ্জে।
My parents work very hard for us.,আমার বাবা-মা আমাদের জন্য অনেক কষ্ট করেন।,আঁর বাপ-মা আঁরার লাই মেলা হষ্ট গরে।
We visit our relatives during Eid holidays.,ঈদের ছুটিতে আমরা আত্মীয়দের বাড়ি বেড়াতে যাই।,ইদর ছুট্টিত আঁরা আত্মীয়র ঘরোত বেড়াইতে যাই।
